Text,Layanan Hukum,Layanan Medis,Layanan Psikologis,Rehabilitasi Sosial,Jaminan Keselamatan,Layanan Pendidikan,Pengasuhan Pengganti,Bantuan Sosial
selamat sore saya adalah ibu dari satu anak saya seorang janda mantan suami saya sampai sekarang masih sering menganiaya saya apa yang harus saya lakukan tolong bantuanya,1,1,0,0,0,0,0,0
mohon bantu pak saya sedang hamil pak diluar nikah anak saya kembar pak tapi pacar saya ini tidak ingin bertanggung jawab dalam arti tidak ingin anak ini pak dia menghindar dan saya gak tau harus bagaimana pak dengan keadaan saya dengan keluarga,0,0,0,0,0,0,1,0
saya seorang anak perempuan yang bersuami tetapi orang tua saya selalu ikut campur masalah saya dan ayah saya mengancam akan memukuli saya apa yang harus saya lakukan,1,0,0,0,0,0,0,0
"jika anak perempuan tidak di beri nafkah orang tua nya  bagaimana yang harus di lakukan Sedangkan anak nya masih bersekolah
tolong di jawab Makasih",0,0,0,0,0,1,1,0
pak saya status pernikahan sudah setahun pisah ranjang selama pernikahan dan pisah ranjang saya suka berantem dan dipukuli saya baru mengurus perceraian tapi anak saya kedua dibawa dan diambil paksa dari saya ke kampung saya takut anak kedua saya seperti anak pertama saya kena kekerasan saya ibu pekerja tidak bisa selama nya ngontrol anak anak saya tapi saya di bilang tidak bisa ngurus anak sedangkan saya tidak di kasih nafkah selama pisah ranjang dan masih berumah tangga,1,1,0,0,0,0,0,0
jika seorang ayah melarang anak untuk bertemu dengan ibu nya dan ibu dilarang untuk merawat anak apakah bisa mengadu ke kpppa,1,0,0,0,0,0,0,0
saya bercerai sudah tujuh tahun tapi ngga pernah dapat nafkah buat anak kemana saya harus minta bantuan,0,0,0,0,0,0,0,1
saya dan anak anak ditelantarkan di perantauan sekitar tiga tahun lebih tiba tiba suami datang bawa istri baru dengan membawa surat cerai kepada saya juga memfitnah saya sampai keluarganya semua mendukung dan membenci juga menuduh saya macam macam dan saya minta bantuan ke pptppa gak ada tanggapan malah saya disalahkan kemana saya harus minta bantuan ketidakadilan saya dan anak-anak saya makasih banyak,1,0,1,0,0,0,0,0
apakah yang di lakukan perlindungan perempuan jika seorang suami menyiksa seorang istri samapai berdarah ,1,1,0,0,0,0,0,0
Bagaimanakah caranya saya untuk minta tolong atas perlindungan diri saya pencemaran nama baik dan anak saya dari ancaman pengedar narkoba,1,0,0,0,0,0,0,0
"Sekarang terbukti suami saya pukul anak melebihi pukul binatang pakai balok dari kepala belakang leher dan semua anggota tubuh termasuk kaki dan kaki patah kami sudah tidak merasa aman lagi serumah dengan suami atau papah seperti ini
",1,1,0,0,0,0,0,0
assalamualaikum pak saya mau tanya jika seorang anak ditahan oleh bapaknya dan tidak boleh bertemu dengan ibu nya apa yang harus saya lakukan saya sudah bicara baik-baik dengan mantan suami saya mohon sarannya terimakasih,1,0,0,0,0,0,0,0
selamat sore saya seorang perempuan yang masih umur dua puluh tahun disini saya tersiksa oleh laki laki cuma ditidurin hamil disuruh gugurin tapi ini beda saya gak mau untuk menggugurkan tapi saya ditelantarkan,1,0,0,0,0,0,0,0
selamat sore tolong bantu saya saya diperas oleh mantan saya kalo saya tidak menuruti apa yang dia mau dia ngancam saya akan menyebarkan salah satu aib saya tolong bantu saya terimakasih,1,0,0,0,0,0,0,0
mohon bantuannya ada yang mau nyebar foto seksi saya gimana caranya buat laporin ya Terima kasih,1,0,0,0,0,0,0,0
mohon sarannya jika ada adik perempuan disiksa dipukulin kakak kandungnya apa perlu dilaporkan dengan yang berwajib,1,1,0,0,0,0,0,0
"siang saya seorang ibu dengan dua orang anak yang masih dibawah umur saya ingin bercerai dari suami karena suami suka kekerasan dalam rumah tangga saya sudah mengajukan gugatan cerai tapi suami suruh saya cabut gugatan jika tidak dicabut dia mengancam saya tidak bisa ketemu dengan anak-anak saya mohon sarannya

",1,1,0,0,0,0,0,0
saya di bully oleh teman kelas saya selama tiga tahun apakah saya harus melaporkannya atau tidak ya mohon sarannya,0,0,1,0,0,0,0,0
tolong sarannya saya teman dari seorang anak angkat yang keluarga angkatnya memberi tekanan batin secara terus menerus kepada nya sampai akan diusir dari rumah harus bagaimana apa yang harus dilakukan ya dan keluarga angkatnya sudah tidak bisa bicara baik baik,0,0,1,0,0,0,1,0
saya diperlakukan kasar oleh ayah saya apakah itu benar ayah saya penganguran ibu saya yg bekerja menafkahi kami,1,1,0,0,0,0,0,0
mohon bantuannya saya seorang anak yang selalu menghadapi toxic parent dan sejujurnya sering ada kekerasan terhadap saya apa yang harus saya lakukan disaat seperti ini sekian terimakasih,1,1,1,0,0,0,0,0
mohon bantuan nya saya sekarang jadi korban kdrt harus kemana saya melaporkan kasus ini,1,1,0,0,0,0,0,0
gimana cara melaporkan tindak kekerasan yang tanpa bekas memar namun membekas di psikologi atau mental sang anak dan itu di perbuat oleh calon ayah masih calon belum sah terimakasih,1,0,1,0,0,0,0,0
maaf menindaklanjuti orang yang tiba tiba memperlihatkan kejantanannya bagaimana ya,1,0,0,0,0,0,0,0
saya dipaksa orang tua saya menikah dengan orang yang tidak saya suka jika saya menolak biaya kuliah saya diabaikan Bahkan seluruh keluarga saya pun tidak menyetujui permintaan orang tua saya tapi tetap orang tua saya memaksa saya harus bagaimana,0,0,0,0,0,1,0,0
selamat pagi mohon dibantu apakah dibenarkan jika orang tua memaksa menikah anak gadisnya yang telah berumur dua puluh satu tahun bahkan calonnya tidak dikenal dan dicarikan dengan membuka seleksi pelamar si anak diberhentikan dari kuliah kerja dan pergaulannya,0,0,0,0,0,1,0,0
mohon bantuan ya pak suami saya meninggalkan saya dan tiga anak demi perempuan malam dan suami saya meninggal kan hutang banyak saya harus gimana dan dia membawa surat nikah kami dan sudah setahun ini kami tidak di beri nafkah saya bekerja demi tiga anak saya,0,0,0,0,0,0,0,1
selamat malam saya mau tanya jika seorang istri dipukul suami apakah ada perlindungannya yang mana kepala sakit keras dan telinga sampai ada ganggungan pendengaran,1,1,0,0,0,0,0,0
bagaimanakah caranya saya korban pencemaran nama baik dan anak anak saya dari pengedar narkoba untuk minta perlindungan hukum,1,0,0,0,0,0,0,0
jika ada anak perempuan usia tujuh belas tahun dipaksa nikah sama bapak kandungnya sama orang yang tidak dicintai yang jelas jelas dari kecil orang tua kandungnya tidak mau urus setelah sudah bekerja jadi perebutan menjadi uang,0,0,1,0,0,0,0,0
kalau mau mengambil anak yang sudah diadopsi harus sama siapa tolong bantu saya saya ingin bayi saya kembali ke pangkuan saya,1,0,0,0,0,0,0,0
bagaimana jika saya dan istri saya dulu mempunyai anak di luar nikah dan anak saya dulu ketika lahir dirampas keluarga istri saya dan diberikan kepada teman keluarga istri saya sekarang saya dan istri saya kesulitan untuk mengambil hak asuh anak,1,0,0,0,0,0,0,0
undang undang tentang penjualan anak di bawah umur,1,0,0,0,0,0,0,0
"saudara perempuan yang memiliki kekurangan mental saat ini hamil
menurut dia dilakukan oleh tiga orang
apakah kppa bisa mendampingi kami",1,0,1,0,0,0,0,0
jika seorang anak telah jadi korban pelecehan di sosial media diancam di mana saya melaporkan tolong jawab,1,0,1,0,0,0,0,0
bapak anak saya ini mantan napi karakternya kasar mana mungkin saya bisa relakan anak saya diasuh pihak dia upaya apa yang bisa saya tempuh untuk mempertahankan anak saya yang selama hidupnya selalu bersama saya tolong petunjuk dari pihak terkait,1,0,0,0,0,0,0,0
saya seorang ibu yang tidak pernah menikah secara sah dengan seorang laki laki karena berbeda agama selama hubungan saya dengan laki laki yang kasar ini saya di karuniai seorang putra yang sekarang sudah umur delapan tahun sekarang bapaknya dengan seenaknya ingin merebut anak saya bagaimana cara saya pertahankan anak saya,1,0,0,0,0,0,0,0
saya istri pns sudah menikah tiga puluh delapan tahun saya memang punya salah tapi itu untuk kepentingan keluarga pns jika melanggar aturan kena sanksi suami saya udah berapa kali nikah sirih tapi dibiarkan harus mengadu kemana saya,1,0,0,0,0,0,0,0
"adik saya dan suaminya sering bertengkar terus mereka sekarang akan bercerai tapi si suami dan orang tuanya ingin mengambil hak asuh si anak sedangkan si anak baru berusia dua koma tiga bulan tindakan apa yang harus di ambil oleh adik saya 
tolong bantuannya",1,0,0,0,0,0,0,0
saya bekerja sebagai kuli proyek kemarin saya tidak sengaja terluka saat bekerja tetapi perusahaan tidak memberikan saya bantuan pengobatan kemana saya harus mengadu,1,0,0,0,1,0,0,0
tolong saya saya kecanduan narkoba sudah lebih dari tiga tahun saya sangat ingin berhenti tapi lingkungan tidak mendukung tolong saya,0,0,0,1,0,0,0,0
waktu itu pernah nginep di suatu hotel sama keluarga terus ac hotel itu panas akhirnya minta di benerin ke pihak hotel beberapa pekerja nya datang untuk benerin kebetulan pas mereka benerin saya dan kakak saya mau berenang nah saya ganti baju renang di kamar mandi saya ngerasa sudah ngunci pintunya dan ternyata pintu itu baru bisa ke kunci dua kali karena saya ga tau dan ngerasa udah ngunci pintunya sekali tiba tiba pekerja hotel buka pintu kamar mandi tanpa ngetok dan tanpa bilang permisi dan sejak itu saya trauma kalau masuk ke kamar mandi,0,0,1,0,0,0,0,0
ada bayi di buang oleh ibu kandungnya bayi tersebut anak hasil zina dan sang ibu berusaha membuang bayi itu ke pekarangan rumah,0,0,0,0,0,0,1,0
saya pernah merasakan kekerasan atau pelecehan seksual di lingkungan keluarga saya pernah merasakan pelecehan seskual saat berumur dua belas tahun dan dilakukan oleh driver ojek online di waktu yang berbeda dari kejadian tersebut saya mengalami trauma saat berada di lingkungan ramai dan sendirian,0,0,1,0,0,0,0,0
saya melihat teman saya mendapatkan kekerasan fisik yang di lakukan oleh kekasihnya,1,1,0,0,0,0,0,0
ketika saya sekolah dasar saya selalu di bully oleh teman teman saya dan saya trauma akan hal itu,0,0,1,0,0,0,0,0
saya adalah orang yang polos dan pendiam karena itu semua orang bully saya dan saya sangat trauma,0,0,1,0,0,0,0,0
a merupakan seorang laki laki dan dekat dengan temannya seorang perempuan yaitu b a memiliki kondisi ekonomi dan sosial yang kurang baik sehingga sering mengeluh dan memaksa b untuk menemaninya mendengar semua ceritanya dan harus menuruti kemauannya ketika b menolaj b di pukul tangannya di bentak bahkan di lecehkan secara seksual b sudah terlepas dari a namun memiliki trauma hingga sekarang hingga b pernah ke psikolog beberapa kali untuk memulihkan mentalnya,1,1,1,0,0,0,0,0
ada tiga orang anak kecil yang di tinggal bekerja oleh kedua orang tuanya dari pagi hingga sore tiga anak itu ditinggal dirumah yang sempit dan kumuh hanya ditinggali makanan seadanya tanpa diperhatikan pengawasan keamanan dan kebersihan tiga anak itu mengalami penyakit kulit hingga seluruh tubuh bernanah dan mengering,0,1,0,0,0,0,1,0
ketika sekolah smp ada satu guru yang kadang mengelus lengan atas murid perempuan mungkin terlihatnya seperti menenangkan namun murid tersebut terlihat kurang nyaman,1,0,0,0,0,0,0,0
saat sekolah sma saya melihat kasus bullying kasus tersebut berupa pengucilan dari teman sekelas dan terkadang merusak barang milik korban,1,0,1,0,0,0,0,0
seorang anak tinggal bersama nenek serta bapanya sementara mamanya bekerja di rantau dan hanya pulang setahun sekali bapannya sering menyiksa anak tersebut dengan memukul sampai memar di paha dan kaki nenenya tidak terima dan ingin lapor polisi tapi dilema karena bapak tersebut adalah pencari nafkah,1,1,0,0,0,1,0,1
ada seorang ibu yang hamil dan di tinggal pergi oleh suaminya tanpa rasa tanggung jawab membuat ibu tersebut banting tulang mencari nafkah untuk membesarkan anaknya seorang diri,0,0,0,0,0,0,0,1
seorang anak umur delapan tahun sejak kecil sering di bully dan di nakali teman temannya kondisi mental anak tersebut kurang sehingga sering menjadi korban bully oleh teman temannya,0,0,1,0,0,0,0,0
ada seseorang yang menjadi korban bullying secara verbal dari beberapa pelaku korban di ejek karena bau badan hal ini menyebabkan korban mengalami trauma berada pada lingkungan tersebut dan korban selalu mengingat kejadian tersebut,0,0,1,0,0,0,0,0
saya melihat kekerasan fisik terhadap anak anak kecil yang saya temui di jalanan mereka mengaku sudah biasa kalau tidak dapat uang mereka akan di siksa saya pernah denger langsung dari korban bahkan tidak boleh pulang dan tidur jika belum mendapat uang korban sering di siksa oleh kedua orang tuanya,1,1,1,0,0,0,1,0
saya sering di bully di sekolah karena kurang sosialisasi bahkan saya juga pernah mendapat bully dari guru bahasa inggris saya dan saya sangat trauma,0,0,1,0,0,0,0,0
saya melihat seorang anak yang di siksa oleh kedua orang tuanya kedua tangan anak tersebut di ikat di belakang pohon,1,1,1,0,0,0,0,0
di desa ku sebulan yang lalu ada kejadian seorang ayah tiri memaksa anak tiri nya untuk memuaskan nafsu nya menggunakan kekerasan anak itu sudah mendapat kekerasan seksual sejak sd,1,0,1,0,0,0,0,0
